Product,Author,Rating,Review,Date,date_review
Milton Electric Kettle,Chanchal Kumar,4,Awesome,"Jan, 2022","Jan, 2022"
Milton Electric Kettle,Flipkart Customer,5,Very good product...,"Jan, 2022","Jan, 2022"
Milton Electric Kettle,Bharath Patel,5,"Very nice product and Excilance service I am give
***** star you team but cable small please cable
panth is improving thank you 24inch only please
48inches","Jan, 2022","Jan, 2022"
Milton Electric Kettle,Chinku Bhukkle,5,Nice products,"Jan, 2022","Jan, 2022"
Milton Electric Kettle,Himanshu Upadhyay,4,Nice,"Feb, 2022","Feb, 2022"
Milton Electric Kettle,Piyush Yadav,5,Nice according to price 👍 excellent,"Feb, 2022","Feb, 2022"
Milton Electric Kettle,Prachi Nautiyal,3,Good product,"Feb, 2022","Feb, 2022"
Milton Electric Kettle,Flipkart Customer,5,It is good product no doubt buy it❤,"Feb, 2022","Feb, 2022"
Milton Electric Kettle,Himanshu Suman,5,Nyc product,"Feb, 2022","Feb, 2022"
Milton Electric Kettle,Sankar Dutta,5,Good product...,"Feb, 2022","Feb, 2022"
Milton Electric Kettle,Radhika Yadav,4,"Product is very nice.... My mom happy thqu so much
Flipkart 😇👍","Feb, 2022","Feb, 2022"
Milton Electric Kettle,Flipkart Customer,5,"Nice product , good quality , fast delivery , good
service","Feb, 2022","Feb, 2022"
Milton Electric Kettle,UJJAL ROY,5,Nice product,"Feb, 2022","Feb, 2022"
Milton Electric Kettle,Jhumpa Das,5,Very good,"Feb, 2022","Feb, 2022"
Milton Electric Kettle,Talib Saifi,5,Outstanding quality,"Mar, 2022","Mar, 2022"
Samsung 7kg Washing Machine,Sunil Kumar,4.3,Good,"Mar, 2022","Mar, 2022"
Milton Electric Kettle,Ritu Panjiyar,4.2,Awesome products by flipkart,"Mar, 2022","Mar, 2022"
Samsung 7kg Washing Machine,Sri Prakash,5,Nice make,"Mar, 2022","Mar, 2022"
Samsung 7kg Washing Machine,RAHUL SK,3,Must Buy Value For Money Very Good Performance,"Mar, 2022","Mar, 2022"
Samsung 7kg Washing Machine,rajshekar ipcc,4.3,"It’s an excellent machine…. Which do every thing
on its own… hassle free Less power consumption
with Huge water save when compared to top load
More over u can trust the brand lik Samsung And
installation was done on next day Aramsye it wil
work for next 8 years Peace ✌️ thank u Samsung","Apr, 2022","Apr, 2022"
Samsung 7kg Washing Machine,Philip Mathew,5,Nice person on installation. Appreciated A+++++,"May, 2022","May, 2022"
Samsung 7kg Washing Machine,Manager Singh,5,Nice product,"May, 2022","May, 2022"
Samsung 7kg Washing Machine,Chaitanya Teja,5,Less noise and less water consumption I,"May, 2022","May, 2022"
Milton Electric Kettle,N.V SIVA REDDY,5,Good nice quality is very good,"Jun, 2022","Jun, 2022"
Milton Electric Kettle,Shaik Aleemuddina,5,Nice product use the office,"Jun, 2022","Jun, 2022"
Milton Electric Kettle,Udaya Sankar,5,Nice product.and good quality. Thank u flipkart👍,"Jun, 2022","Jun, 2022"
Milton Electric Kettle,Kajal Chaudhary,5,Good product 👍go for it,"Jun, 2022","Jun, 2022"
Samsung 7kg Washing Machine,Dinesh NARUKA,5,Value of money can’t expect,"Jun, 2022","Jun, 2022"
Samsung 7kg Washing Machine,Chirag Sutariya,5,Good,"Jun, 2022","Jun, 2022"
Milton Electric Kettle,Abishek ayyanar,5,Very nice,"Jun, 2022","Jun, 2022"
Samsung 7kg Washing Machine,Flipkart Customer,4,"Very Good Product.. Sofar Happy with the
performance and nice washing quality","Jun, 2022","Jun, 2022"
Milton Electric Kettle,Gangeshwar Gawali,5,Good quality,"Jun, 2022","Jun, 2022"
Milton Electric Kettle,pardeep K. Bhatia,4,"Not good, cap broken","Jul, 2022","Jul, 2022"
Milton Electric Kettle,Nitish Kumar,5,superb,"Jul, 2022","Jul, 2022"
Milton Electric Kettle,brijesh bathre,5,Good,"Aug, 2022","Aug, 2022"
Milton Electric Kettle,Flipkart Customer,5,Nice kettle,"Aug, 2022","Aug, 2022"
Milton Electric Kettle,Anshika Gupta,5,Better,"Aug, 2022","Aug, 2022"
Samsung 7kg Washing Machine,Vivek E,5,"After lot of confusion which brand to bought , i
choosen samsung 8kg machine this model. First of
all , look wise good and low noise and power
rating as 5 star are advantage. Further it has
user friendly. if you wants to buy 8kg machine
with in 30k you could choose this one. Budget is
not a pbm you can choose bosch ifb.Because Bosch
and ifb brands are the best for washing machine.","Aug, 2022","Aug, 2022"
Milton Electric Kettle,Devinder rawat,5,Excellent shipment I'm satisfied my order.,"Aug, 2022","Aug, 2022"
Milton Electric Kettle,Yangrin Wangsa,5,thank you so much Flipkart,"Sep, 2022","Sep, 2022"
Milton Electric Kettle,Pallavi Gupta,4,I like it.superb😊,"Sep, 2022","Sep, 2022"
Milton Electric Kettle,Deepak Saini,5,A best product,"Sep, 2022","Sep, 2022"
Milton Electric Kettle,Nirbhay Daniel,5,"This product is very good and its work good but
the wire so small","Sep, 2022","Sep, 2022"
Milton Electric Kettle,Nitin Sharma,5,Good product,"Oct, 2022","Oct, 2022"
Milton Electric Kettle,Lalit bhatt Bhatt,5,Very nice product,"Oct, 2022","Oct, 2022"
Milton Electric Kettle,Udai Kumar Singh,5,"Nice product, Value for money","Oct, 2022","Oct, 2022"
Milton Electric Kettle,Murugan Desingu,5,"Working is good,i thanks to Flipkart","Oct, 2022","Oct, 2022"
Milton Electric Kettle,Arzoo Parween,5,Good product.Thanks flipkart,"Oct, 2022","Oct, 2022"
Milton Electric Kettle,Namita Saurabh Singh,4.2,Good to use. Water gets warm within few seconds,"Oct, 2022","Oct, 2022"
Milton Electric Kettle,Khushi Dhiman,4,👌👌👌👌👌🥰🥰🥰🥰🥰 very good,"Oct, 2022","Oct, 2022"
Milton Electric Kettle,Arun Saikia,4,Nice product,"Oct, 2022","Oct, 2022"
Samsung 7kg Washing Machine,Gurpreet Sharma,4,Nice washing machine by samsung.....,"Oct, 2022","Oct, 2022"
Milton Electric Kettle,Md Saba Karim,4.2,"Nice product value for money. I liked Farst water
boile few minutes 👍👍👍👍 I suggest you can buy it
🙃🙃🙃🙃🙃🙃🙃👌👌👌👌👌👌","Oct, 2022","Oct, 2022"
Milton Electric Kettle,Suryabhan Maurya,5,Good product,"Oct, 2022","Oct, 2022"
Milton Electric Kettle,Mustak Abdul,5,Good product👌👌👌,"Oct, 2022","Oct, 2022"
Milton Electric Kettle,Rajat Dash,5,Good one. It heats water very fast. Loved it,"Oct, 2022","Oct, 2022"
Samsung 7kg Washing Machine,Karan Kaushal,4.3,"Value for Money: 4.5/5 Performance: 5/5 Build
quality :4.5/5 Design 4.5/5 Noise 4/5(only drier
makes a little noise)   Brief:  This was my first
purchase of a Fully Automatic Machine. Been using
for a Semi-automatic machine for the past 20
years, we finally decided to shift to a fully
automatic machine. Having heard really bad
feedback about the top load we decided on the
front load. I shortlisted about 3 Brands in the
budget - Samsung, LG, Bosch. Heard some quality
issues with Bosch in Indi... READ MORE","Oct, 2022","Oct, 2022"
Milton Electric Kettle,SAHIL ANSARI,5,Nice product 👍,"Nov, 2022","Nov, 2022"
Milton Electric Kettle,Sha-lini kumari Mandal,5,Nice product,"Nov, 2022","Nov, 2022"
Milton Electric Kettle,Flipkart Customer,5,Kettle is good same as per requirement.,"Nov, 2022","Nov, 2022"
Milton Electric Kettle,Shakambri Devi,5,Good,"Dec, 2022","Dec, 2022"
Milton Electric Kettle,Ariya Debbarma,5,Good,"Jan, 2023","Jan, 2023"
Milton Electric Kettle,PRABHUNATH PAL,4,Normal good,"Jan, 2023","Jan, 2023"
Milton Electric Kettle,Flipkart Customer,4.2,"This is such a excellent product and it is working
very nicely.","Jan, 2023","Jan, 2023"
Milton Electric Kettle,Piyush Sharma,5,"Working good and very quickly but power cord
length is only 1/2 meter 😅😅😅😅 don't expected from
a reputated brand 🤔 Nice move for cost cutting 👍","Feb, 2023","Feb, 2023"
Milton Electric Kettle,Flipkart Priya rahul sachan,4.2,Excellent,"Feb, 2023","Feb, 2023"
Samsung 7kg Washing Machine,JOSBIN AUGUSTINE,5,Good,"Feb, 2023","Feb, 2023"
Samsung 7kg Washing Machine,Flipkart Customer,4,"I got this for 28 K, i saw many brands but finally
i decided to buy samsung because the samsung drum
size is little bigger than other brands and i got
a really good one with good price This machine
wash cloths very nicely with less sound I suggest
please go for this and buy without any doubt","Mar, 2023","Mar, 2023"
Milton Electric Kettle,Joy Roy Chowdhury,4,"This is Very nice Product, Very Reasonable Price,
Quick Heat Processer (30Sec.) Perfect Quality, All
Over Very Good Product .","May, 2023","May, 2023"
Samsung 7kg Washing Machine,ALEX MATHEW,5,"Super product Value for money Easy to use Thanks
Flipkart Delivery Next day.but Installation and
demo to take 5 days (Technician communication very
very bad)","May, 2023","May, 2023"
Milton Electric Kettle,SURENDRA BABU DANDU,4,Very nice,"Jun, 2023","Jun, 2023"
Samsung 7kg Washing Machine,Deepak Kukreja,4,"Fast delivery, but delivery person demanded extra
money of exchange washing machine, even his senior
demanding extra money, installation was in hurry
and not in a proper manner.  About product, first
thing I've noticed that rat protection panel was
of cardboard material, one can easily make this.
Panel should be provided out of these plastic,
steel or rubber.  Cycle stops thrice in between
daily wash cycle on first day of usage which is
not acceptable.  Overall I'm completely
disappointed wi... READ MORE","Jun, 2023","Jun, 2023"
Milton Electric Kettle,Flipkart Customer,4,Awsom 👌😊thnq flipcart,"Jul, 2023","Jul, 2023"
Samsung 7kg Washing Machine,Deepak Patil,5,I Am Happy Thanks Flipkart,"Jul, 2023","Jul, 2023"
Samsung 7kg Washing Machine,Jenish Jondhalekar,5,Product is awesome.....Go for it,"Jul, 2023","Jul, 2023"
Samsung 7kg Washing Machine,Ayan Mallick,4,"First time using a Samsung Home appliance The
experience is very good . Received a call from
Samsung service centre within 2 hrs of delivery .
The technician assigned was very skilled and
understanding . Thumbs up to Samsung for the fast
installation and demo . Coming to the washing
machine : 1. Very silent . 2. Uses very little
water . 3. Best for people who don't want
complicated modes , Very simple usable modes . 4.
Soak mode is very good ( recommended to use
always) . First time orderi... READ MORE","Aug, 2023","Aug, 2023"
Samsung 7kg Washing Machine,Kogatam Suhel,5,Product is very good service is very low,"Aug, 2023","Aug, 2023"
Milton Electric Kettle,Divya Katoch,5,Very good product. It's good for daily use....,"Aug, 2023","Aug, 2023"
Samsung 7kg Washing Machine,Adhil Saleem,5,"Amazing product form Samsung, first I was looking
in the local stores they all overpriced up to 32k,
finally I got this product in Flipkart for 24K
with so many offers and with best exchange rate.
Thank you flipkart and team.","Sep, 2023","Sep, 2023"
iPhone 15,Jayanta Roy,5,Nice 🙂🙂🙂🙂🙂,"Sep, 2023","Sep, 2023"
iPhone 15,SANDEEP SOMAN,5,"48 megapixel is lit🔥 Thin bessels compared to 14
Lesser in weight Dynamic Island works perfectly
Good battery backup ⚡ My rating 5/5","Sep, 2023","Sep, 2023"
iPhone 15,Nilesh Yadav,5,"Best in class..! Superb camera and performance.
Fine grip.","Sep, 2023","Sep, 2023"
iPhone 15,Akhilesh Bepari,5,"It's performance is super and nice camera also a
ok battery backup..","Sep, 2023","Sep, 2023"
iPhone 15,Atul Negi,5,It looks so good in my hand !.......WAU?,"Sep, 2023","Sep, 2023"
iPhone 15,Naveen S,4.6,Very nice product☺️☺️we loved the phone very much,"Sep, 2023","Sep, 2023"
iPhone 15,Praveen Kumar,5,"This is my first iphone ever used loving it
already this is worth it 🥰","Sep, 2023","Sep, 2023"
iPhone 15,Suman Jain,5,Simply Awesome 🤩,"Sep, 2023","Sep, 2023"
iPhone 15,Thilak Kumar,4,"I upgraded from iPhone 13 to 15 and this phone is
awesome worth the money go for it","Sep, 2023","Sep, 2023"
iPhone 15,Ashish Raj,4,Awesome phone ❤️,"Sep, 2023","Sep, 2023"
iPhone 15,KALPESH SHIRSEKAR,5,"Coming from iphone 12 mini. Camera is definitely a
upgrade over the previous generation. Design
outside remains the same. Pastel colours with
matte finish. The Dynamic Island is what i liked
for the notification part. Processor of previous
generation pro models. Overall a value for money
among the 15 models. Got it a great deal in
flipkart clubbing exchange and bank offers.
Delivery was on time.","Sep, 2023","Sep, 2023"
iPhone 15,Saurabh Gothwad,4.6,Simply premium.,"Sep, 2023","Sep, 2023"
iPhone 15,Manya Customer,5,"The phone is pretty awesome! Switching from
android to ios. Smooth performance, amazing camera
and battery backup so far is great. Worth it!","Sep, 2023","Sep, 2023"
Samsung 7kg Washing Machine,Punyashree V K,4.3,Good product,"Oct, 2023","Oct, 2023"
iPhone 15,ANUP SINGH GAUTAM,5,Absolutely gorgeous 😻,"Oct, 2023","Oct, 2023"
Samsung 7kg Washing Machine,Avinash Raj,5,"Got this washing machine for 25k during BBD..
excellent machine. This machine is very silent and
have many handful features that can be totally
controlled via app on the phone.. cleanes really
well.. excellent product by Samsung. Value for
money totally","Oct, 2023","Oct, 2023"
Samsung 7kg Washing Machine,ramreddy kandula,5,"Product was good . Performance is very satisfying.
Scilent in operation. We will get notification
through mobile when washing is completed . The
only thing i feel is .. it is a wifi enabled
device but On and Off and start the washing cycle
is working at machine only . There is nothing much
use with wifi . Overall product is good .","Oct, 2023","Oct, 2023"
Samsung 7kg Washing Machine,Ashutosh saini,5,Perfect for 5 members,"Oct, 2023","Oct, 2023"
Samsung 7kg Washing Machine,Santhana Kumar G,5,"Good , Value for money","Oct, 2023","Oct, 2023"
iPhone 15,Ajin V,5,High quality camera😍,"Oct, 2023","Oct, 2023"
iPhone 15,Rahul Shedge,5,"Totally happy! Camera 5 Battery 5 Display 5 Design
5","Oct, 2023","Oct, 2023"
iPhone 15,jay singh,4.6,"Just upgraded from iphone 12 to 15 and I totally
loved this 15 series. Camera:- No doubt iphones
camera are best of any other smartphone, primary
camera is now 48mp which gives quite sharp images,
2x in portrait mode is definitely a game changer
in base varient. Battery:- 3349 mAH is quite
better as compared to older versions.
Performance:- Apple improve performance by
introducing A-16 bionic chip, no doubt performance
is on top. Display:- In display we get dynamic
island which gives phone mo... READ MORE","Oct, 2023","Oct, 2023"
iPhone 15,SONAL PAL,5,"Awesome phone powerful performance and battery
backup are also very good no heating issue ☺️","Oct, 2023","Oct, 2023"
Samsung 7kg Washing Machine,Aliva Nayak,5,"Excellent,never expected.And its looking very
glamorous.And it's the new version with new MFG On
August 2023.","Oct, 2023","Oct, 2023"
iPhone 15,Dev Kumar,4.6,Camera quality top notch 👍,"Oct, 2023","Oct, 2023"
iPhone 15,Prithivi Boruah,5,Camera Quality Is Improved Loving It,"Oct, 2023","Oct, 2023"
iPhone 15,Sheetla Prasad Maurya,5,"Best mobile phone Camera quality is very nice
Battery backup is very good Sound quality is
amazing.","Oct, 2023","Oct, 2023"
iPhone 15,Ankit Verma,5,Awesome camra quality superb camra 😊,"Oct, 2023","Oct, 2023"
iPhone 15,Mousam Guha Roy,5,Very nice,"Oct, 2023","Oct, 2023"
iPhone 15,Mukesh Kumar,5,Pic Quality Awesome,"Oct, 2023","Oct, 2023"
Milton Electric Kettle,Shravan Safi,5,Nice product 😁😃👍✨,"Oct, 2023","Oct, 2023"
iPhone 15,Urgain Norzin,5,"It's amazing nd also the delivery boy was very
humble.","Oct, 2023","Oct, 2023"
Milton Electric Kettle,Anjali Anjali,5,Fantastic,"Oct, 2023","Oct, 2023"
iPhone 15,Flipkart Customer,5,"Superb... Shifted from Android to iPhone
15..classs👍","Oct, 2023","Oct, 2023"
iPhone 15,Flipkart Customer,5,Nice one 🫶,"Oct, 2023","Oct, 2023"
iPhone 15,AYUSH singh,5,"best camera and battery is also very good In love
with dynamic Island Type-c charging is very fast.
Overall best phone","Nov, 2023","Nov, 2023"
iPhone 15,Aman Nur,5,good one.,"Nov, 2023","Nov, 2023"
iPhone 15,Suraj Mehra,5,Nice,"Nov, 2023","Nov, 2023"
iPhone 15,Akshay Meena,5,"So beautiful, so elegant, just a vowww😍❤️","Nov, 2023","Nov, 2023"
Samsung 7kg Washing Machine,Manu H,5,Good,"Nov, 2023","Nov, 2023"
Samsung 7kg Washing Machine,Ajesh kumar,5,"My review after 20 days, excellent and very good
product from Samsung and more laundries with time
also AI control can operate easily with mobile. No
noise very cool and good looking.","Nov, 2023","Nov, 2023"
Samsung 7kg Washing Machine,Subhash Yadav,5,Good,"Nov, 2023","Nov, 2023"
iPhone 15,mohit yadav,5,Nice ❤️,"Nov, 2023","Nov, 2023"
Samsung 7kg Washing Machine,Flipkart Customer,5,Nice product Thank you Samsung,"Nov, 2023","Nov, 2023"
Milton Electric Kettle,Subrata Barman,5,Good products,"Dec, 2023","Dec, 2023"
Milton Electric Kettle,NITISH KUMAR,5,Good product 👍👍👍👍,"Dec, 2023","Dec, 2023"
